"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&rowsPerPage%3D75%26queryText%3D%28%22software+architectur*%22+AND+%28%28HCI+OR+%22Human-Computer+Interaction%22+OR+%22Human+Computer+Interaction%22%29+OR+%28HMI+OR+%22Human-Machine+Interaction%22+OR+%22Human+Machine+Interaction%22%29%29%29",2017/05/04 16:53:42
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A Novel Multimedia Interactive System for Public Show and Presentations","M. Gaudina; S. Schiappacasse; L. Lagomarsino; E. Bellanti; G. Vercelli","Dept. of Inf., Bioeng., Robot., & Syst. Eng., Univ. of Genoa, Genoa, Italy","2014 Eighth International Conference on Complex, Intelligent and Software Intensive Systems","20141002","2014","","","543","546","Holographic interactivity is nowadays a promising research topic within HCI field, mainly due to recent technological improvements. Moreover, low-cost off-the shelf components are widely availables, with respect to the last century situation for traditional human-machine interaction paradigms. The way of displaying information and data communication are now much more robust and solid than in the past, allowing better user experiences (Ux) than before in terms of presence and immersion. The paper presents a novel interaction system based on holographic and multi-touch technologies well suited for shows and interactive talks. The performer/presenter operates behind a vertical touch enabled transparent holographic panel where multimedia contents are projected and directly manipulated. This type of communication is much more cogent and immersive than any other, since both the presenter and the public interact facing each other with the possibility of focusing their attention on the same interspersed interactive elements. Furthermore, the system relies on a web based cross-platform framework allowing both proximal and remote interaction and visualization on smartphones, tablets and internet enabled devices in general. Preliminary interviews have underlined the goodness of this new interaction paradigm suggesting that this could be a strong base of a much larger platform for many and different uses.","","CD-ROM:978-1-4799-4326-5; Electronic:978-1-4799-4325-8; POD:978-1-4799-1677-1","10.1109/CISIS.2014.79","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6915571","","Business;Internet;Multimedia communication;Software;Tactile sensors;Three-dimensional displays","Internet;computer aided instruction;human computer interaction;multimedia systems;touch sensitive screens","HCI field;Web based cross-platform framework;holographic interactivity;holographic technology;human computer interface;multimedia contents;multimedia interactive system;multitouch technology;proximal interaction;public presentation;public show;remote interaction;user experience;vertical touch enabled transparent holographic panel","","0","","16","","","2-4 July 2014","","IEEE","IEEE Conference Publications"
"One dimensional ring type growing SOM with asymmetric neighborhood function and its application to a hand shape instruction learning system","T. Kuremoto; T. Otani; M. Obayashi; K. Kobayashi; S. Mabu","Dept. Inf. Sci. & Eng., Yamaguchi Univ., Ube, Japan","15th IEEE/ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD)","20140901","2014","","","1","6","An asymmetric neighborhood function was proposed by Aoki and Aoyagi to instead of symmetric neighborhood function in conventional Kohonen's self-organizing map (SOM) to avoid topological twist of the order of units during training process. Meanwhile, a one dimensional ring type growing SOM was proposed by Ohta and Saito to reduce the unnecessary increasing of units of conventional 2-D growing SOM. In this paper, we adopt the asymmetric neighborhood to a parameterless growing SOM (PL-G-SOM) proposed by Kuremoto et al. to construct a novel SOM: One dimensional ring type growing SOM using asymmetric neighborhood function (One-D-R-A-G-SOM). The proposed SOM is applied to instruction recognition and learning system with input of hand shapes for human-machine-interaction (HMI), especially for users of speech handicapped people. The effectiveness of the proposed method was confirmed by the experiments comparing with systems using conventional SOMs.","","Electronic:978-1-4799-5604-3; POD:978-1-4799-5605-0","10.1109/SNPD.2014.6888741","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6888741","PL-G-SOM;human-machine-interaction (HMI);reinforcement learning;self-organzing map (SOM)","Educational institutions;Learning systems;Robots;Shape;Thumb;Training;Vectors","computer aided instruction;handicapped aids;human computer interaction;self-organising feature maps;sign language recognition","1D ring type growing SOM;HMI;Kohonen self-organizing map;PL-G-SOM;asymmetric neighborhood function;hand shape instruction learning system;human-machine-interaction;instruction recognition system;one-D-R-A-G-SOM;parameterless growing SOM;speech handicapped people;training process","","0","","23","","","June 30 2014-July 2 2014","","IEEE","IEEE Conference Publications"
"Effects of human-machine interaction mechanisms on situation awareness in partly automated driving","F. Wulf; K. Zeeb; M. Rimini-Döring; M. Arnon; F. Gauterin","Robert Bosch GmbH, Abstatt, Germany","16th International IEEE Conference on Intelligent Transportation Systems (ITSC 2013)","20140130","2013","","","2012","2019","In recent years, one of the goals of driver assistance systems has been to relieve the driver of parts of his burden of driving. Current developments are able to take over full control of the vehicle in specific use cases. Automated driving in traffic jams is seen as the next step towards automated driving. One of the main challenges is ensuring the driver's ability to take back responsibility when being driven by the car. The assumption that drivers tend to perform secondary tasks creates a target conflict. Within this context, it is the aim of the current study to analyze the impacts of an exemplary secondary task and certain Human-Machine Interaction (HMI) mechanisms on the driver's level of situation awareness and the resulting driving safety. The implemented HMI mechanisms are a “driver's safety device” and a “video image”. While it is hypothesized that the secondary task has a negative influence on situation awareness, the HMI mechanism's effect is supposed to be positive. In addition, the overall user's acceptance will also be analyzed. The results show that the implemented driver's safety device has no effect on situation awareness but is still able to support driving safety by assisting the driver in the execution of actions. The video image has a positive effect on situation awareness but because the complacency-effect is enhanced its effect on driving safety is negligible. As assumed, the secondary task has a negative impact on situation awareness and driving safety.","2153-0009;21530009","Electronic:978-1-4799-2914-6; POD:978-1-4799-2915-3; USB:978-1-4799-2913-9","10.1109/ITSC.2013.6728525","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6728525","Driving Simulator;Human-Machine Interaction;Partly Automated Driving;Situation Awareness","Automation;Automotive components;Current measurement;Man machine systems;Safety devices;Vehicles","automobiles;driver information systems;human computer interaction;road traffic","HMI mechanisms;automated driving;car;complacency effect;driver assistance systems;driver safety device;driver secondary tasks;driver situation awareness level;driving safety;exemplary secondary task;human-machine interaction mechanisms;traffic jams;user acceptance;video image","","1","","29","","","6-9 Oct. 2013","","IEEE","IEEE Conference Publications"
"Autonomous input management for Human Interaction-oriented systems design","M. Podpora; A. Kawala-Janik; M. Kiernan","Fac. of Electr. Eng., Autom. Control & Inf., Opole Univ. of Technol., Opole, Poland","2013 Federated Conference on Computer Science and Information Systems","20131107","2013","","","143","144","In this paper evaluation of a policy-based algorithm for video inputs switching is presented. The term `data quality' is not trivial for Human-Machine Interaction systems, yet a simple and efficient algorithm is needed for choosing the most valuable video source. This becomes particularly important for systems that support functional decomposition of image processing algorithm, which are designed for non-optimal working environment. In this paper an autonomous input management system is proposed, which consists of a data quality evaluation algorithm and a simple decision algorithm.","","Electronic:978-83-60810-52-1; POD:978-1-4673-4471-5; USB:978-83-60810-53-8","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6643989","Autonomic Systems;Decision Systems;Distributed Systems;Human-Machine Interaction (HMI);Machine Vision","Algorithm design and analysis;Educational institutions;Lighting;Man machine systems;Streaming media;Switches;Visualization","human computer interaction;video signal processing","autonomous input management system;data quality evaluation algorithm;decision algorithm;functional decomposition;human interaction-oriented system design;human-machine interaction system;image processing algorithm;policy-based algorithm;video inputs switching","","0","","4","","","8-11 Sept. 2013","","IEEE","IEEE Conference Publications"
"Topics in Biometric Human-Machine Interaction Security","R. Kannavara; K. L. Shippy","Security Center of Excellence, Intel Corp, Hillsboro, OR, USA","IEEE Potentials","20131101","2013","32","6","18","25","Biometrics is the science and technology of measuring and statistically analyzing biological data. As applied to computing and human-machine interaction (HMI), biometric applications deal with recognizing the individual or deciphering the individual's conversation (e.g., in the form of voice commands or gestures) or collecting and analyzing data regarding the individual's health and emotional status.These applications inherently deal with personally identifiable information (PII), which ultimately has to be stored somewhere, retrieved at some point of time, processed, and probably stored again, perhaps over a wireless channel.","0278-6648;02786648","","10.1109/MPOT.2013.2248891","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6651640","","Authentication;Biometrics (access control);Cryptography;Databases;Gesture recognition;Measurement","biometrics (access control);data privacy;human computer interaction;security of data","HMI;PII;biological data measurement;biometric application;biometric human-machine interaction security;data analysis;data collection;emotional status;gestures;health status;personally identifiable information;statistical analysis;voice commands;wireless channel","","2","","12","","","Nov.-Dec. 2013","","IEEE","IEEE Journals & Magazines"
"Pro-active content managing system for efficient human machine interaction in data intensive environments","A. N. N. Lee; Y. Evchina; A. Dvoryanchikova; J. L. M. Lastra","Department of Production Engineering, Tampere University of Technology Foundation (TUT), Finland","2013 11th IEEE International Conference on Industrial Informatics (INDIN)","20131010","2013","","","790","796","The informational flow in modern technological systems is intensive due to multiple embedded devices, which leads to informational overload for users, causes time lost and decreases the reliability of the performance of a human-machine system. There is a need for efficient managing of information in order to display it to a particular user accordingly to his/her current needs. This paper presents the concept of a Virtual Control Room (VCR) which is a proactive content-managing context-aware system aiming to facilitate human-machine interaction and the process of human decision/making in data intensive environments. The system collects, models, and reasons the context information and displays it in a personalized way via pro-active and adaptive multimodal Human Machine Interfaces (HMIs) on mobile devices. As a result, users can monitor and control the system from any location in a comfortable manner. The breakthrough is seen in a semantic Web based solution, which considers ontological dynamic context models with two level reasoning on top, and adaptive HMIs which support functionality on different mobile devices with introduction of modern technologies like 3D and augmented reality. The VCR concept is illustrated using two possible application domains, which are seen as important and challenging both from a socio-economic and from a technical perspective: building and manufacturing domains.","1935-4576;19354576","Electronic:978-1-4799-0752-6; POD:978-1-4799-0750-2; USB:978-1-4799-0751-9","10.1109/INDIN.2013.6622985","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6622985","Building automation;context-awareness;human machine interface;industrial systems;manufacturing;ontologies","Adaptation models;Adaptive systems;Context;Context modeling;Engines;Monitoring;Ontologies","augmented reality;content management;human computer interaction;mobile computing;ontologies (artificial intelligence);semantic Web;user interfaces","3D technology;HMI;VCR concept;augmented reality technology;building domain;context information collection;context information modelling;context information reasoning;data intensive environments;embedded devices;human decision making process;human machine interaction;human-machine system performance reliability reduction;information management;informational flow;informational overload;manufacturing domain;mobile devices;ontological dynamic context models;proactive adaptive multimodal human machine interfaces;proactive content-management context-aware system;semantic Web-based solution;socio-economic domain;system control;system monitoring;technological systems;two-level reasoning;virtual control room","","0","","35","","","29-31 July 2013","","IEEE","IEEE Conference Publications"
"User experience evaluation in an automotive context","M. Körber; A. Eichinger; K. Bengler; C. Olaverri-Monreal","Dept. of Mech. Eng., Tech. Univ. Munchen, Munich, Germany","2013 IEEE Intelligent Vehicles Symposium Workshops (IV Workshops)","20130930","2013","","","13","18","Tough competition in the automobile market makes it very important to exceed customer expectations with in-vehicle devices or applications in order to stand out in an already saturated market. Research on human-machine interaction (HMI) showed that user satisfaction is not only influenced by usability factors but also by user experience (UX). Since UX in the automotive context has not yet been comprehensively investigated, this article presents a feasible research method for the measurement of UX. We rely on the fulfillment of psychological needs as a user experience measurement and conducted three online surveys to develop a questionnaire for that purpose. We analyze nine need scales, each with 10 items, and reduced the item count afterwards for a shorter form of the questionnaire. Results reveal that the method successfully measured the intended needs. Future work with respect to a further extension and improvement of the method is discussed.","","Electronic:978-1-4799-0795-3; POD:978-1-4799-0793-9","10.1109/IVWorkshops.2013.6615219","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6615219","","Automotive engineering;Context;Correlation;Reliability;Standards;Usability;Vehicles","automobile industry;ergonomics;human computer interaction","HMI;UX;automobile market;automotive context;customer expectations;human-machine interaction;in-vehicle devices;psychological needs;usability factors;user experience evaluation;user experience measurement","","1","","22","","","23-23 June 2013","","IEEE","IEEE Conference Publications"
"Hands tracking with self-occlusion handling in cluttered environment","B. J. Chen; C. M. Huang; A. S. Liu; T. E. Tseng; L. C. Fu","Department of Electrical Engineering, National Taiwan University, Taiwan, ROC","2013 9th Asian Control Conference (ASCC)","20130923","2013","","","1","8","This paper presents a two-hands tracking method with a monocular camera for human machine interaction (HMI). To clarify the face of the user and his/her hands, the face is also tracked in our method. The targets are tracked independently when they are far from each other; however, they are merged with dependent likelihood measurements in higher dimension while they are likely to interrupt each other. While one target is being tracked in the independent situation, other targets are masked to decrease the skin color disturbances on the tracked one. Multiple cues, including the combination of the locally discriminative color weighted image and the back-projection image of the reference color model, the motion history image and the gradient orientation feature, are employed to verify the hypotheses originated from the particle filter. On the other hand, when the targets are closing or even overlapping, the multiple importance sampling (MIS) particle filter generates the tracking hypotheses of the merged targets by the skin blob reasoning and the depth order estimation. These joint hypotheses are then evaluated by the visual cues of occluded face template, hand shape gradient orientation, motion continuity and forearm equation. The experimental results present the real-time efficiency and the robustness in comparison with the state-of-the-art human pose estimation method.","","Electronic:978-1-4673-5769-2; POD:978-1-4673-5766-1; USB:978-1-4673-5768-5","10.1109/ASCC.2013.6606126","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606126","","Face;Image color analysis;Joints;Shape;Skin;Target tracking","cameras;clutter;face recognition;gradient methods;human computer interaction;image colour analysis;image motion analysis;importance sampling;object tracking;particle filtering (numerical methods);shape recognition;target tracking","HMI;MIS particle filter;back-projection image;cluttered environment;depth order estimation;discriminative color weighted image;face tracking;forearm equation;gradient orientation feature;hand shape gradient orientation;human machine interaction;likelihood measurements;monocular camera;motion continuity;motion history image;multiple importance sampling;occluded face template;reference color model;self-occlusion handling;skin blob reasoning;skin color disturbances;target tracking;two-hands tracking method;visual cues","","0","","14","","","23-26 June 2013","","IEEE","IEEE Conference Publications"
"Imaging and HMI: Fondations and complementarities","N. Triki; M. Kallel; M. S. Bouhlel","Sciences of Electronics, Technologies of Information and Telecommunications (SETIT), Sfax, Tunisia","2012 6th International Conference on Sciences of Electronics, Technologies of Information and Telecommunications (SETIT)","20130321","2012","","","25","29","Nowadays, the new technologies of image processing and Human Machine Interaction (HMI) are mostly linked to the scientific domains of research (medicine, transport, etc). Indeed, the emergence of the tactile interfaces as well as the gestural interfaces allows increasing the physical world which surrounds us with the digital information. It also allows us to use natural hand gestures to interact with this information which is a digital image. In this paper, we describe the basic concepts of the images processing as well as the HMI foundations. Then, we identify the gestural human interaction as well as its relation with the imaging.","","Electronic:978-1-4673-1658-3; POD:978-1-4673-1657-6","10.1109/SETIT.2012.6481884","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6481884","Human Machine Interaction (HMI);digital image processing;gestures","Band pass filters;Computers;Digital images;Hidden Markov models;Image color analysis;Image segmentation;Imaging","gesture recognition;haptic interfaces;human computer interaction;image processing","HMI;digital image;digital information;gestural human interaction;gestural interfaces;human machine interaction;image processing;natural hand gestures;tactile interfaces","","1","","13","","","21-24 March 2012","","IEEE","IEEE Conference Publications"
"Improving Vehicle Fleet Fuel Economy via Learning Fuel-Efficient Driving Behaviors","O. Linda; M. Manic","Comput. Sci. Dept., Univ. of Idaho, Idaho Falls, ID, USA","2012 5th International Conference on Human System Interactions","20130307","2012","","","137","143","Reducing the fuel consumption of road vehicles has the potential to decrease environmental impact of transportation as well as achieve significant economical benefits. This paper proposes a novel methodology for improving the fuel economy of vehicle fleets via learning fuel-efficient driving behaviors. Vehicle fleets composed of large number of heavy vehicles routinely perform runs with different drivers over a set of fixed routes. While all drivers might achieve on-time and safe driving performance their actual driving behaviors and the subsequent fuel economy can vary substantially. The proposed Intelligent Driver System (IDS) utilizes vehicle performance data combined with GPS information on fixed routes to incrementally build a model of the historically most fuel efficient driving behavior. During driving, the calculated optimal velocity for specific location is compared to the current vehicle state and a fuzzy logic PD controller is used to compute the optimal control action. The control action can be projected to the drivers via a specialized HMI or used directly as a predictive cruise control to achieve overall fuel economy improvements. The method has been validated on a simulated heavy vehicle model, showing potential for substantial fuel economy improvements.","2158-2246;21582246","Electronic:978-0-7695-4894-4; POD:978-1-4673-4498-2","10.1109/HSI.2012.28","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6473775","Driving Behaviors;Fuel Economy;Fuzzy Logic Control;Machine Learning;Vehicle Fleet","Artificial intelligence;Fuel economy;Fuzzy logic;PD control;Pragmatics;Vehicles","PD control;control engineering computing;driver information systems;fuel economy;fuzzy control;human computer interaction;learning (artificial intelligence);optimal control;road vehicles","GPS information;Global Positioning System;IDS;economical benefit;fuel consumption reduction;fuel economy improvement;fuel-efficient driving behavior;fuzzy logic PD controller;human-machine interaction;intelligent driver system;learning;optimal control;proportional-derivative controller;road vehicle;specialized HMI;vehicle fleet fuel economy;vehicle performance data","","2","2","13","","","6-8 June 2012","","IEEE","IEEE Conference Publications"
"Application of neural networks in emotional speech recognition","M. Bojanić; V. Crnojević; V. Delić","Faculty of Technical Sciences, University of Novi Sad, Trg Dositeja Obradovi&#x0107;a 6, Serbia","11th Symposium on Neural Network Applications in Electrical Engineering","20130128","2012","","","223","226","Emotional speech recognition (ESR) from the aspect of human-machine interaction (HCI) is a prerequisite for the framework of interacting partners within the HCI. This paper addresses the application of neural network (NN) in ESR. The performance of NN is tested using three different feature sets which are basis for ESR: prosodic features, spectral features and a set of their combination. The results of these feature sets are compared using several network topologies and two training algorithms. It has been shown that using joint prosodic-spectral feature set as input to three layer feed-forward NN trained with back-propagation algorithm has the best performance in 5-class emotional speech recognition task.","","Electronic:978-1-4673-1572-2; POD:978-1-4673-1569-2","10.1109/NEUREL.2012.6420016","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6420016","emotional speech recognition;neural network","Accuracy;Emotion recognition;Feature extraction;Network topology;Neurons;Speech;Speech recognition","backpropagation;emotion recognition;human computer interaction;neural nets;speech recognition","ESR;HCI;NN;backpropagation algorithm;emotional speech recognition;human-machine interaction;network topologies;neural network application;prosodic features;spectral features","","3","","13","","","20-22 Sept. 2012","","IEEE","IEEE Conference Publications"
"Facial expression recognition via Gabor wavelet and structured sparse representation","T. Chen; F. Su","School of Computer Science, Beijing University of Posts and Telecommunications, Beijing 100876, China","2012 3rd IEEE International Conference on Network Infrastructure and Digital Content","20130124","2012","","","420","424","Automatically facial expression recognition (FER) has become more and more important today, making machine understand human's emotion by expression having various potential applications, especially in the field of human machine interaction (HCI). But FER still remains a challenge problem in computer vision as the subtleness of facial expression is difficult to capture and the robustness of the recognition in various situation is also hard to guarantee. In this paper, a Gabor wavelet and structured sparse representation based classification (SSRC) are proposed aiming to solve the FER problem. The Gabor wavelet filter is used to extract the subtle facial expression, and the structured sparse representation based classification (SSRC) is used for classifying the test images robustly. Unlike sparse representation based classification (SRC), the SSRC explicitly takes structure of the dictionary into account for a better classification. Experimental results show the better performance of our proposed method compared with other traditional methods, especially more robust in case of facing corruption or occlusion.","2374-0272;23740272","Electronic:978-1-4673-2204-1; POD:978-1-4673-2201-0","10.1109/ICNIDC.2012.6418787","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6418787","Facial expression recognition;Gabor wavelet;Structured sparse representation","Dictionaries;Face;Face recognition;Feature extraction;Humans;Image recognition;Robustness","Gabor filters;computer graphics;emotion recognition;face recognition;human computer interaction;image classification;wavelet transforms","Gabor wavelet filter;computer vision;facial expression recognition;human emotion;human machine interaction;image classification;occlusion;structured sparse representation based classification","","2","","9","","","21-23 Sept. 2012","","IEEE","IEEE Conference Publications"
"Affect recognition using EEG signal","H. Xu; K. N. Plataniotis","The Edward S. Rogers Sr. Dept. of Electrical and Computer Engineering, University of Toronto 10 Kings College Road, Toronto, ON, Canada, M5S 3G4","2012 IEEE 14th International Workshop on Multimedia Signal Processing (MMSP)","20121110","2012","","","299","304","Emotion states greatly influence many areas in our daily lives, such as: learning, decision making and interaction with others. Therefore, the ability to detect and recognize one's emotional states is essential in intelligence Human Machine Interaction (HMI). The aim of this study was to develop a new system that can sense and communicate emotion changes expressed by the Central Nervous System (CNS) through the use of EEG signals. More specifically, this study was carried out to develop an EEG-based subject-dependent affect recognition system to quantitatively measure and categorize three affect states: Positively excited, neutral and negatively excited. In this paper, we discussed implementation issues associated with each key stage of a fully automated affect recognition system: emotion elicitation protocol, feature extraction and classification. EEG recordings from 5 subjects with IAPS images as stimuli from the eNTERFACE06 database were used for simulation purposes. Discriminating features were extracted in both time and frequency domains (statistical, narrow-band, HOC, and wavelet entropy) to better understand the oscillatory nature of the brain waves. Through the use of k Nearest Neighbor classifier (kNN), we obtained mean correct classification rates of 90.77% on the three emotion classes when K equals 5. This demonstrated the feasibility of brain waves as a mean to categorize a user's emotion state. Secondly, we also assessed the suitability of commercially available EEG headsets such as Emotive Epoc for emotion recognition applications. This study was carried out by comparing the sensor location, signal integrity with those of Biosemi Active II. A new set of recognition performance was presented with reduced number of channels.","","Electronic:978-1-4673-4572-9; POD:978-1-4673-4570-5; USB:978-1-4673-4571-2","10.1109/MMSP.2012.6343458","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6343458","","Biomedical monitoring;Brain models;Electrodes;Electroencephalography;Emotion recognition;Feature extraction","brain-computer interfaces;electroencephalography;emotion recognition;entropy;feature extraction;human computer interaction;neurophysiology;statistical analysis;time-frequency analysis;wavelet transforms","CNS;EEG headsets;EEG recordings;EEG-based subject-dependent affect recognition system;Emotive Epoc;HMI;HOC;IAPS images;central nervous system;decision making;eNTERFACE06 database;emotion elicitation protocol;emotional state detection;emotional state recognition;feature classification;feature extraction;frequency domains;fully-automatic affect recognition system;intelligence human machine interaction;k-nearest neighbor classifier;kNN classifier;learning;mean correct classification rates;narrow-band;negatively excited states;neutral states;oscillatory brain waves;positively excited states;sensor location;signal integrity;simulation purposes;statistical analysis;time domains;wavelet entropy","","7","","15","","","17-19 Sept. 2012","","IEEE","IEEE Conference Publications"
"A Fast Gesture Recognition Scheme for Real-Time Human-Machine Interaction Systems","C. H. Lai","Smart Network Syst. Inst. Inst. for Inf. Ind., Taipei, Taiwan","2011 International Conference on Technologies and Applications of Artificial Intelligence","20120102","2011","","","212","217","In recent years, the gesture control technique has become a new developmental trend for many human-based electronics products. This technique let people can control these products more naturally, intuitively and conveniently. In this paper, a fast gesture recognition scheme is proposed to be an interface for the human-machine interaction (HMI) of systems. This paper presents some low-complexity algorithms and gestures to reduce the gesture recognition complexity and be more suitable for controlling real-time computer systems. Besides, this paper also implements a HMI interface for a telematic service system to valid the performance of the proposed scheme and to confirm the proposed is suitable to be used to develop a HMI of telematic service systems for the in-vehicle environment. The experimental results show that the proposed scheme can work well in a real-time service system.","2376-6816;23766816","Electronic:978-0-7695-4601-8; POD:978-1-4577-2174-8","10.1109/TAAI.2011.44","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6120746","Gesture recognition;human-machine interaction (HMI);telematic service system","Feature extraction;Gesture recognition;Image color analysis;Man machine systems;Noise;Vehicles;Videos","gesture recognition;human computer interaction;telecommunication computing","HMI interface;gesture control technique;gesture recognition scheme;human-based electronics products;in-vehicle environment;low-complexity algorithms;real-time human-machine interaction systems;telematic service system","","0","","21","","","11-13 Nov. 2011","","IEEE","IEEE Conference Publications"
"ACP theory based plant human machine interaction evaluation","X. Liu; X. Shen; D. Fan","The State Key Laboratory of Intelligent Control and Management of Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China","Proceedings of 2011 IEEE International Conference on Service Operations, Logistics and Informatics","20110825","2011","","","116","120","It's an important need for a large chemical plant to roundly and deeply evaluate the design prototype of plant human machine interaction (HMI) using in the control room. To meet this need, we propose an evaluation method based on the ACP (Artificial system, Computational experiment, and Parallel execution) theory. A plant operator agent is created in the method and it is composed of perception, cognition, and execution processors, short-term memory, and long-term memory. The operator agent is used as a virtual subject, and the HMI can be evaluated by behavior simulation, from the viewpoints of shortening fault detection and isolation (FDI) track and decreasing operator's physical and mental workloads. The proposed method shows that the ACP theory is useful for the HMI evaluation.","","Electronic:978-1-4577-0574-8; POD:978-1-4577-0573-1","10.1109/SOLI.2011.5986539","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5986539","ACP;fault detection and isolation;human machine interaction;plant operation","Frequency modulation;Pipelines;Switches","chemical industry;fault diagnosis;human computer interaction;man-machine systems;process control","ACP theory;artificial system;computational experiment;fault detection;fault isolation;parallel execution;plant human machine interaction evaluation;plant operator agent","","0","","7","","","10-12 July 2011","","IEEE","IEEE Conference Publications"
"A Framework for Automatic Human Emotion Classification Using Emotion Profiles","E. Mower; M. J. Mataric; S. Narayanan","Department of Electrical Engineering, University of Southern California, University Park, Los Angeles, California, USA","IEEE Transactions on Audio, Speech, and Language Processing","20110502","2011","19","5","1057","1070","Automatic recognition of emotion is becoming an increasingly important component in the design process for affect-sensitive human-machine interaction (HMI) systems. Well-designed emotion recognition systems have the potential to augment HMI systems by providing additional user state details and by informing the design of emotionally relevant and emotionally targeted synthetic behavior. This paper describes an emotion classification paradigm, based on emotion profiles (EPs). This paradigm is an approach to interpret the emotional content of naturalistic human expression by providing multiple probabilistic class labels, rather than a single hard label. EPs provide an assessment of the emotion content of an utterance in terms of a set of simple categorical emotions: anger; happiness; neutrality; and sadness. This method can accurately capture the general emotional label (attaining an accuracy of 68.2% in our experiment on the IEMOCAP data) in addition to identifying underlying emotional properties of highly emotionally ambiguous utterances. This capability is beneficial when dealing with naturalistic human emotional expressions, which are often not well described by a single semantic label.","1558-7916;15587916","","10.1109/TASL.2010.2076804","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5585726","Emotion profiles;multimodal emotion classification;nonprototypical emotions","Accuracy;Databases;Eyebrows;Feature extraction;Hidden Markov models;Humans;Support vector machines","emotion recognition;human computer interaction;image classification","HMI systems;affect-sensitive human-machine interaction systems;automatic emotion recognition;automatic human emotion classification;emotion profiles;human emotional expressions;multiple probabilistic class labels;single hard label;single semantic label","","50","","40","","20100927","July 2011","","IEEE","IEEE Journals & Magazines"
"Inducing Genuine Emotions in Simulated Speech-Based Human-Machine Interaction: The NIMITEK Corpus","M. Gnjatovic; D. Rosner","Otto-von-Guericke-University Magdeburg, Magdeburg and University of Novi Sad, Novi Sad","IEEE Transactions on Affective Computing","20110106","2010","1","2","132","144","Emotional corpora provide an important empirical foundation for investigation when researchers aim at implementing emotion-aware spoken dialog systems. One of the fundamental research questions is how to acquire an appropriate, realistic emotion corpus. The primary aim of this paper is to address the methodological desiderata in producing emotion corpora in human-machine interaction (HMI). It proposes a substantial refinement of the Wizard-of-Oz (WOZ) technique in order that a scenario designed to elicit affected speech in HMI could result in realistic and useful data. In addition, the paper reports about the NIMITEK corpus of affected behavior in HMI produced during a refined WOZ simulation. The evaluation of the corpus with respect to the perception of its emotional content demonstrated that the corpus contains recordings of emotions that were overtly signaled. The range of emotional reactions is indicative of the kind of emotional reactions than can be expected to occur in the interaction with the sort of spoken dialog systems considered in this study. Since the subjects were not restricted by given predetermined linguistic constraints on the language to use, their utterances are indicative of the way in which nontrained, nontechnical users probably like to converse with conversational agents as well.","1949-3045;19493045","","10.1109/T-AFFC.2010.14","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5661765","Affective computing;emotional corpora;methods for emotion elicitation.;methods of data collection","Computational modeling;Emotion recognition;Games;Man machine systems;Robots;Speech recognition","emotion recognition;human computer interaction;interactive systems;speech recognition;speech-based user interfaces","NIMITEK corpus;WOZ simulation;conversational agent;elicit affected speech;emotion aware spoken dialog system;emotional content;emotional corpora;genuine emotion;methodological desiderata;predetermined linguistic constraint;simulated speech based human machine interaction;substantial refinement;wizard-of-oz technique","","6","","19","","20101210","July-Dec. 2010","","IEEE","IEEE Journals & Magazines"
