Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A rapid prototyping software infrastructure for user interfaces in ubiquitous augmented reality","Personal and Ubiquitous Computing","","9","3","10.1007/s00779-004-0328-1","Christian SandorGudrun Klinker","2005","http://link.springer.com/article/10.1007/s00779-004-0328-1","Article"
"GroupScape: Integrating Synchronous Groupware and the World Wide Web","Human-Computer Interaction INTERACT ’97","","","","10.1007/978-0-387-35175-9_82","T. C. Nicholas Graham","1997","http://link.springer.com/chapter/10.1007/978-0-387-35175-9_82","Chapter"
"Digital Storytelling within Virtual Environments: “The Battle of Thermopylae”","Transactions on Edutainment IX","","","","10.1007/978-3-642-37042-7_2","Dimitrios ChristopoulosPavlos MavridisAnthousis AndreadisJohn N. Karigiannis","2013","http://link.springer.com/chapter/10.1007/978-3-642-37042-7_2","Chapter"
"Programs = Data + Algorithms + Architecture: Consequences for Interactive Software Engineering","Engineering Interactive Systems","","","","10.1007/978-3-540-92698-6_22","Stéphane Chatty","2008","http://link.springer.com/chapter/10.1007/978-3-540-92698-6_22","Chapter"
"SADT/IDEF0 for Augmenting UML, Agile and Usability Engineering Methods","Software and Data Technologies","","","","10.1007/978-3-642-36177-7_3","David A. Marca","2013","http://link.springer.com/chapter/10.1007/978-3-642-36177-7_3","Chapter"
"Seeing similarity in the face of difference: enabling comparison of online production systems","Social Network Analysis and Mining","","1","2","10.1007/s13278-010-0007-3","Claudia Müller-BirnBenedikt MeuthrathAndreas ErberSebastian BurkhartAnne BaumgrassJanette LehmannRobert Schmidl","2011","http://link.springer.com/article/10.1007/s13278-010-0007-3","Article"
"AFFINE for Enforcing Earlier Consideration of NFRs and Human Factors When Building Socio-Technical Systems Following Agile Methodologies","Human-Centred Software Engineering","","","","10.1007/978-3-642-16488-0_15","Mohamed BourimiThomas BarthJoerg M. HaakeBernd UeberschärDogan Kesdogan","2010","http://link.springer.com/chapter/10.1007/978-3-642-16488-0_15","Chapter"
"Smart Homes or Smart Occupants? Supporting Aware Living in the Home","Human-Computer Interaction – INTERACT 2011","","","","10.1007/978-3-642-23771-3_5","Lyn BartramJohnny RodgersRob Woodbury","2011","http://link.springer.com/chapter/10.1007/978-3-642-23771-3_5","Chapter"
"Seeding, Evolutionary Growth and Reseeding: Constructing, Capturing and Evolving Knowledge in Domain-Oriented Design Environments","Automated Software Engineering","","5","4","10.1023/A:1008657429810","Gerhard Fischer","1998","http://link.springer.com/article/10.1023/A%3A1008657429810","Article"
"Proposal for the 4th Workshop on Mobile Gaming, Mobile Life – Interweaving the Virtual and the Real","Entertainment Computing - ICEC 2012","","","","10.1007/978-3-642-33542-6_72","Barbara GrüterHolger MüggeLeif OppermannMark Billinghurst","2012","http://link.springer.com/chapter/10.1007/978-3-642-33542-6_72","Chapter"
"Information Systems Research and Development by Activity Analysis and Development: Dead Horse or the Next Wave?","Information Systems Research","","","","10.1007/1-4020-8095-6_25","Mikko KorpelaAnja MursuAbimbola SoriyanAnne EerolaHeidi HäkkinenMarika Toivanen","2004","http://link.springer.com/chapter/10.1007/1-4020-8095-6_25","Chapter"
"Reflection of a Year Long Model-Driven Business and UI Modeling Development Project","Human-Computer Interaction – INTERACT 2009","","","","10.1007/978-3-642-03658-3_80","Noi SukaviriyaSenthil ManiVibha Sinha","2009","http://link.springer.com/chapter/10.1007/978-3-642-03658-3_80","Chapter"
"Components of the visual computer: A review of relevant technologies","The Visual Computer","","9","3","10.1007/BF01902552","Gurminder SinghMark H. Chignell","1992","http://link.springer.com/article/10.1007/BF01902552","Article"
"Simplicity in cognitive assistive technology: a framework and agenda for research","Universal Access in the Information Society","","5","4","10.1007/s10209-006-0063-7","Clayton Lewis","2007","http://link.springer.com/article/10.1007/s10209-006-0063-7","Article"
"Integrating the Physical World with the Web to Enable Context-Enhanced Mobile Services","Mobile Networks and Applications","","10","4","10.1007/s11036-005-1552-2","Philippe DebatyPatrick GoddiAlex Vorbau","2005","http://link.springer.com/article/10.1007/s11036-005-1552-2","Article"
"Agent-based architectural framework enhancing configurability, autonomy and scalability of context-aware pervasive services","Autonomous Agents and Multi-Agent Systems","","21","1","10.1007/s10458-009-9101-1","Nikolaos DimakisJohn SoldatosLazaros PolymenakosAxel BürkleUwe PfirrmannGerhard Sutschet","2010","http://link.springer.com/article/10.1007/s10458-009-9101-1","Article"
"Editorial","Mobile Networks and Applications","","4","1","10.1023/A:1019161807340","","1999","http://link.springer.com/article/10.1023/A%3A1019161807340","Article"
"Frameworks for the Effective Information Exchange on Mobile Devices","Computer and Information Science 2012","","","","10.1007/978-3-642-30454-5_11","Haeng-Kon KimRoger Y. Lee","2012","http://link.springer.com/chapter/10.1007/978-3-642-30454-5_11","Chapter"
"A hierarchical, agent-based service oriented architecture for smart environments","Service Oriented Computing and Applications","","2","4","10.1007/s11761-008-0030-7","Ivan Marsa-MaestreMiguel A. Lopez-CarmonaJuan R. Velasco","2008","http://link.springer.com/article/10.1007/s11761-008-0030-7","Article"
"JVoiceXML as a modality component in the W3C multimodal architecture","Journal on Multimodal User Interfaces","","7","3","10.1007/s12193-013-0119-y","Dirk Schnelle-WalkaStefan RadomskiMax Mühlhäuser","2013","http://link.springer.com/article/10.1007/s12193-013-0119-y","Article"
"Follow My Finger Navigation","Human-Computer Interaction – INTERACT 2009","","","","10.1007/978-3-642-03658-3_29","Rami AjajFrédéric VernierChristian Jacquemin","2009","http://link.springer.com/chapter/10.1007/978-3-642-03658-3_29","Chapter"
"An intelligent space robot for crew help and crew and equipment retrieval","Applied Intelligence","","5","1","10.1007/BF00872781","J. D. EricksonK. A. GrimmT. W. PendletonL. E. HowardR. A. GoodeM. S. HawkinsD. BlossJ. A. SeabornC. W. HessD. WalkerD. E. PhinneyR. S. NorsworthyG. AndersonC. H. ChienL. HewgillM. Littlefield","1995","http://link.springer.com/article/10.1007/BF00872781","Article"
"Integrating Groupware Notations with UML","Engineering Interactive Systems","","","","10.1007/978-3-540-85992-5_13","William J. GiraldoAna I. MolinaManuel OrtegaCesar A. Collazos","2008","http://link.springer.com/chapter/10.1007/978-3-540-85992-5_13","Chapter"
"A Tool for Interactive Advice on the Use of Speech in Multimodal Systems","Journal of VLSI signal processing systems for signal, image and video technology","","29","1 - 2","10.1023/A:1011183800658","Saturnino LuzNiels Ole Bernsen","2001","http://link.springer.com/article/10.1023/A%3A1011183800658","Article"
"Towards an Extended Model of User Interface Adaptation: The Isatine Framework","Engineering Interactive Systems","","","","10.1007/978-3-540-92698-6_23","Víctor López-JaqueroJean VanderdoncktFrancisco MonteroPascual González","2008","http://link.springer.com/chapter/10.1007/978-3-540-92698-6_23","Chapter"
"A controlled experiment to assess the impact of system architectures on new system requirements","Requirements Engineering","","15","2","10.1007/s00766-010-0099-3","Remo FerrariJames A. MillerNazim H. Madhavji","2010","http://link.springer.com/article/10.1007/s00766-010-0099-3","Article"
"Context Awareness in Mobile Computing Environments","Wireless Personal Communications","","42","3","10.1007/s11277-006-9187-6","Christos B. AnagnostopoulosAthanasios TsounisStathes Hadjiefthymiades","2007","http://link.springer.com/article/10.1007/s11277-006-9187-6","Article"
"Argus: A suite of tools for research in complex cognition","Behavior Research Methods, Instruments, & Computers","","33","2","10.3758/BF03195358","Michael J. SchoellesWayne D. Gray","2001","http://link.springer.com/article/10.3758/BF03195358","Article"
"Building Virtual Entertainment Environment with Tiled Display Wall and Motion Tracking","Transactions on Edutainment IX","","","","10.1007/978-3-642-37042-7_17","Liangjie ZhangXiaohong JiangKaibin LeiHua Xiong","2013","http://link.springer.com/chapter/10.1007/978-3-642-37042-7_17","Chapter"
"Modeling the Linguistic Architecture of Software Products","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-642-33666-9_11","Jean-Marie FavreRalf LämmelAndrei Varanovich","2012","http://link.springer.com/chapter/10.1007/978-3-642-33666-9_11","Chapter"
"Steps in Identifying Interaction Design Patterns for Multimodal Systems","Engineering Interactive Systems","","","","10.1007/978-3-540-85992-5_5","Andreas Ratzka","2008","http://link.springer.com/chapter/10.1007/978-3-540-85992-5_5","Chapter"
"An Easy-to-Use AR Authoring Tool for Industrial Applications","Computer Vision, Imaging and Computer Graphics. Theory and Application","","","","10.1007/978-3-642-38241-3_2","Jesús GimenoPedro MorilloJuan Manuel OrduñaMarcos Fernández","2013","http://link.springer.com/chapter/10.1007/978-3-642-38241-3_2","Chapter"
"Environment as a first class abstraction in multiagent systems","Autonomous Agents and Multi-Agent Systems","","14","1","10.1007/s10458-006-0012-0","Danny WeynsAndrea OmiciniJames Odell","2007","http://link.springer.com/article/10.1007/s10458-006-0012-0","Article"
"Personalised e-learning through an educational virtual reality game using Web services","Multimedia Tools and Applications","","39","1","10.1007/s11042-007-0155-2","George KatsionisMaria Virvou","2008","http://link.springer.com/article/10.1007/s11042-007-0155-2","Article"
"Mobile Systems Development: A Literature Review","Designing Ubiquitous Information Environments: Socio-Technical Issues and Challenges","","","","10.1007/0-387-28918-6_17","Jens Henrik HosbondPeter Axel Nielsen","2005","http://link.springer.com/chapter/10.1007/0-387-28918-6_17","Chapter"
"Improving Group Attention: An Experiment with Synchronous Brainstorming","Group Decision and Negotiation","","20","5","10.1007/s10726-011-9233-y","Antonio FerreiraPedro AntunesValeria Herskovic","2011","http://link.springer.com/article/10.1007/s10726-011-9233-y","Article"
"Editorial","Towards Service Robots for Everyday Environments","","","","10.1007/978-3-642-25116-0_2","Martin HägelePaul G. Plöger","2012","http://link.springer.com/chapter/10.1007/978-3-642-25116-0_2","Chapter"
"Flexible Reporting for Automated Usability and Accessibility Evaluation of Web Sites","Human-Computer Interaction - INTERACT 2005","","","","10.1007/11555261_25","Abdo BeirekdarMarc KeitaMonique NoirhommeFrédéric RandoletJean VanderdoncktCéline Mariage","2005","http://link.springer.com/chapter/10.1007/11555261_25","Chapter"
"Artifacts in the A&A meta-model for multi-agent systems","Autonomous Agents and Multi-Agent Systems","","17","3","10.1007/s10458-008-9053-x","Andrea OmiciniAlessandro RicciMirko Viroli","2008","http://link.springer.com/article/10.1007/s10458-008-9053-x","Article"
"Social and Semiotic Analyses for Theorem Prover User Interface Design 1","Formal Aspects of Computing","","11","3","10.1007/s001650050051","Joseph Goguen","1999","http://link.springer.com/article/10.1007/s001650050051","Article"
"Mitteilungen der Schweizer Informatiker Gesellschaft · 3/2003","Informatik-Spektrum","","26","3","10.1007/s00287-003-0311-7","","2003","http://link.springer.com/article/10.1007/s00287-003-0311-7","Article"
"Design science 97","AI & SOCIETY","","10","2","10.1007/BF01205282","Jürgen Friedrich","1996","http://link.springer.com/article/10.1007/BF01205282","Article"
"Usability Considerations in Developing a Graphic Interface for Intra Office Communications","Human Work Interaction Design: Usability in Social, Cultural and Organizational Contexts","","","","10.1007/978-3-642-11762-6_18","Pradeep YammiyavarPiyush Jain","2010","http://link.springer.com/chapter/10.1007/978-3-642-11762-6_18","Chapter"
"Engineering the Design of Usable Hypermedia","Empirical Software Engineering","","4","1","10.1023/A:1009851130621","F. PaternoC. Mancini","1999","http://link.springer.com/article/10.1023/A%3A1009851130621","Article"
"Services computing as the foundation of enterprise agility: Overview of recent advances and introduction to the special issue","Information Systems Frontiers","","9","1","10.1007/s10796-007-9023-x","J. Leon ZhaoMohan TanniruLiang-Jie Zhang","2007","http://link.springer.com/article/10.1007/s10796-007-9023-x","Article"
"A Context-Aware Based Application of Smart Vehicle Space for Ubiquitous Computing","Advanced Technology in Teaching - Proceedings of the 2009 3rd International Conference on Teaching and Computational Science (WTCS 2009)","","","","10.1007/978-3-642-25437-6_26","Qing WuJunjie ZhaoHong Zeng","2012","http://link.springer.com/chapter/10.1007/978-3-642-25437-6_26","Chapter"
"Research Infrastructure for Interactive Human- and Autonomous Guidance","Journal of Intelligent & Robotic Systems","","70","1 - 4","10.1007/s10846-012-9774-6","Bérénice MettlerNavid DadkhahZhaodan KongJonathan Andersh","2013","http://link.springer.com/article/10.1007/s10846-012-9774-6","Article"
"Gesture Profile for Web Services: An Event-Driven Architecture to Support Gestural Interfaces for Smart Environments","Ambient Intelligence","","","","10.1007/978-3-642-34898-3_11","Radu-Daniel VatavuCătălin-Marian CheraWei-Tek Tsai","2012","http://link.springer.com/chapter/10.1007/978-3-642-34898-3_11","Chapter"
"Proactive Assistive Technology: An Empirical Study","Human-Computer Interaction – INTERACT 2007","","","","10.1007/978-3-540-74796-3_25","Amedeo CestaGabriella CortellessaVittoria GiulianiFederico PecoraRiccardo RasconiMassimiliano ScopellitiLorenza Tiberio","2007","http://link.springer.com/chapter/10.1007/978-3-540-74796-3_25","Chapter"
"Designing the Software Support for Partially Virtual Communities","Collaboration and Technology","","","","10.1007/978-3-642-33284-5_6","Francisco GutierrezNelson BaloianSergio F. OchoaGustavo Zurita","2012","http://link.springer.com/chapter/10.1007/978-3-642-33284-5_6","Chapter"
"Usability: Who Cares?","Usability","","","","10.1007/978-0-387-35610-5_20","Thomas McCoy","2002","http://link.springer.com/chapter/10.1007/978-0-387-35610-5_20","Chapter"
"Semiotics and Intelligent Control","Organizational Semiotics","","","","10.1007/978-0-387-35611-2_18","Morten Lind","2002","http://link.springer.com/chapter/10.1007/978-0-387-35611-2_18","Chapter"
"HTML5 Standards and Open API Mashups for the Web of Things","Computer Applications for Web, Human Computer Interaction, Signal and Image Processing, and Pattern Recognition","","","","10.1007/978-3-642-35270-6_26","Si-Ho ChaYoemun Yun","2012","http://link.springer.com/chapter/10.1007/978-3-642-35270-6_26","Chapter"
"Visualising biological data: a semantic approach to tool and database integration","BMC Bioinformatics","","10","6","10.1186/1471-2105-10-S6-S19","Steve PettiferDavid ThornePhilip McDermottJames MarshAlice VillégerDouglas B KellTeresa K Attwood","2009","http://link.springer.com/article/10.1186/1471-2105-10-S6-S19","Article"
"An Integrated Approach to Designing and Evaluating Collaborative Applications and Infrastructures","Computer Supported Cooperative Work (CSCW)","","10","1","10.1023/A:1011266229161","Prasun Dewan","2001","http://link.springer.com/article/10.1023/A%3A1011266229161","Article"
"Designing Mobile Systems in Highly Dynamic Scenarios: The WORKPAD Methodology","Knowledge, Technology & Policy","","22","1","10.1007/s12130-009-9070-3","Shah Rukh HumayounTiziana CatarciMassimiliano de LeoniAndrea MarrellaMassimo MecellaManfred BortenschlagerRenate Steinmann","2009","http://link.springer.com/article/10.1007/s12130-009-9070-3","Article"
"Integrating Contexts to Support Coordination: The CHAOS Project","Computer Supported Cooperative Work (CSCW)","","8","3","10.1023/A:1008747807830","Carla SimoneMonica Divitini","1999","http://link.springer.com/article/10.1023/A%3A1008747807830","Article"
"The Context of Interactive Systems Development","Design Principles for Interactive Software","","","","10.1007/978-0-387-34912-1_1","Christian GramGilbert Cockton","1996","http://link.springer.com/chapter/10.1007/978-0-387-34912-1_1","Chapter"
"A Toolset for Creating Iconic Interfaces for Interactive Workspaces","Human-Computer Interaction - INTERACT 2005","","","","10.1007/11555261_56","Jacob T. BiehlBrian P. Bailey","2005","http://link.springer.com/chapter/10.1007/11555261_56","Chapter"
"Supporting Consistency between Architectural Design Decisions and Component Models through Reusable Architectural Knowledge Transformations","Software Architecture","","","","10.1007/978-3-642-39031-9_20","Ioanna LytraHuy TranUwe Zdun","2013","http://link.springer.com/chapter/10.1007/978-3-642-39031-9_20","Chapter"
"Special issue on “Intelligent systems and services for ubiquitous computing”","Personal and Ubiquitous Computing","","13","7","10.1007/s00779-009-0230-y","Jong Hyuk ParkJianhua MaLaurence T. YangAnind K. Dey","2009","http://link.springer.com/article/10.1007/s00779-009-0230-y","Article"
"Multisensory VR interaction for protein-docking in the CoRSAIRe project","Virtual Reality","","13","4","10.1007/s10055-009-0136-z","N. FéreyJ. NelsonC. MartinL. PicinaliG. BouyerA. TekP. BourdotJ. M. BurkhardtB. F. G. KatzM. AmmiC. EtchebestL. Autin","2009","http://link.springer.com/article/10.1007/s10055-009-0136-z","Article"
"Two Software Plugins for the Creation of Fully Accessible PDF Documents Based on a Flexible Software Architecture","Computers Helping People with Special Needs","","","","10.1007/978-3-642-31522-0_94","Alireza DarvishyThomas LeemannHans-Peter Hutter","2012","http://link.springer.com/chapter/10.1007/978-3-642-31522-0_94","Chapter"
"Natural language processing: a prolog perspective","Artificial Intelligence Review","","33","1 - 2","10.1007/s10462-009-9151-4","Christian BitterDavid A. ElizondoYingjie Yang","2010","http://link.springer.com/article/10.1007/s10462-009-9151-4","Article"
"TIDE: Lightweight Device Composition for Enhancing Tabletop Environments with Smartphone Applications","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40498-6_13","Léo SicardAurélien TabardJuan David Hincapié-RamosJakob E. Bardram","2013","http://link.springer.com/chapter/10.1007/978-3-642-40498-6_13","Chapter"
"Mediating between Man and Machine","Conversations About Challenges in Computing","","","","10.1007/978-3-319-00209-5_12","Aslak TveitoAre Magnus Bruaset","2013","http://link.springer.com/chapter/10.1007/978-3-319-00209-5_12","Chapter"
"Users’ perception of open source usability: an empirical study","Engineering with Computers","","28","2","10.1007/s00366-011-0222-1","Arif RazaLuiz Fernando CapretzFaheem Ahmed","2012","http://link.springer.com/article/10.1007/s00366-011-0222-1","Article"
"Supporting Community Emergency Management Planning through a Geocollaboration Software Architecture","Computer Supported Cooperative Work (CSCW)","","16","4 - 5","10.1007/s10606-007-9050-7","Wendy A. SchaferCraig H. GanoeJohn M. Carroll","2007","http://link.springer.com/article/10.1007/s10606-007-9050-7","Article"
"Domain-oriented design environments","Automated Software Engineering","","1","2","10.1007/BF00872289","Gerhard Fischer","1994","http://link.springer.com/article/10.1007/BF00872289","Article"
"Formal Testing of Multimodal Interactive Systems","Engineering Interactive Systems","","","","10.1007/978-3-540-92698-6_3","Jullien BouchetLaya MadaniLaurence NigayCatherine OriatIoannis Parissis","2008","http://link.springer.com/chapter/10.1007/978-3-540-92698-6_3","Chapter"
"Proposed Framework for Evaluating Quality of Experience in a Mobile, Testbed-oriented Living Lab Setting","Mobile Networks and Applications","","15","3","10.1007/s11036-010-0223-0","Katrien De MoorIstvan KetykoWout JosephTom DeryckereLieven De MarezLuc MartensGino Verleye","2010","http://link.springer.com/article/10.1007/s11036-010-0223-0","Article"
"The System Design of Intelligent Teaching Robot Based on Remote Control","Advances in Electrical Engineering and Automation","","","","10.1007/978-3-642-27951-5_72","Yi GaoXing PanYong Pan","2012","http://link.springer.com/chapter/10.1007/978-3-642-27951-5_72","Chapter"
"Put Them Where? Towards Guidelines for Positioning Large Displays in Interactive Workspaces","Human-Computer Interaction - INTERACT 2005","","","","10.1007/11555261_29","Ramona E. SuBrian P. Bailey","2005","http://link.springer.com/chapter/10.1007/11555261_29","Chapter"
"RFID-driven situation awareness on TangiSense, a table interacting with tangible objects","Personal and Ubiquitous Computing","","16","8","10.1007/s00779-011-0442-9","Sébastien KubickiSophie LepreuxChristophe Kolski","2012","http://link.springer.com/article/10.1007/s00779-011-0442-9","Article"
"Color TFT Instrument Clusters in the Chinese Market","Proceedings of the FISITA 2012 World Automotive Congress","","","","10.1007/978-3-642-33835-9_67","Huibin LiGerhard MuellerKarl ReichLeo Glasenhardt","2013","http://link.springer.com/chapter/10.1007/978-3-642-33835-9_67","Chapter"
"Design and Evaluation of Interaction Technology for Medical Team Meetings","Human-Computer Interaction – INTERACT 2011","","","","10.1007/978-3-642-23774-4_42","Alex OlwalOscar FrykholmKristina GrothJonas Moll","2011","http://link.springer.com/chapter/10.1007/978-3-642-23774-4_42","Chapter"
"A framework to integrate speech based interface for blind web users on the websites of public interest","Human-centric Computing and Information Sciences","","3","1","10.1186/2192-1962-3-21","Prabhat VermaRaghuraj SinghAvinash Kumar Singh","2013","http://link.springer.com/article/10.1186/2192-1962-3-21","Article"
"Using Scenarios to Understand the Frontiers of IS","Information Systems Frontiers","","1","1","10.1023/A:1010077128073","Paul GrayAnat Hovav","1999","http://link.springer.com/article/10.1023/A%3A1010077128073","Article"
"Integration of audiovisual sensors and technologies in a smart room","Personal and Ubiquitous Computing","","13","1","10.1007/s00779-007-0172-1","Joachim NeumannJosep R. CasasDušan MachoJavier Ruiz Hidalgo","2009","http://link.springer.com/article/10.1007/s00779-007-0172-1","Article"
"Improving University Quality of Services through Mobile Devices: The Case of the Technological University of Panama","Ubiquitous Computing and Ambient Intelligence. Context-Awareness and Context-Driven Interaction","","","","10.1007/978-3-319-03176-7_36","Alex SanchezLilia MuñozVladimir Villarreal","2013","http://link.springer.com/chapter/10.1007/978-3-319-03176-7_36","Chapter"
"A Ground Control Station for a Multi-UAV Surveillance System","Journal of Intelligent & Robotic Systems","","69","1 - 4","10.1007/s10846-012-9759-5","Daniel PerezIvan MazaFernando CaballeroDavid ScarlattiEnrique CasadoAnibal Ollero","2013","http://link.springer.com/article/10.1007/s10846-012-9759-5","Article"
"Information management for integrated design environments","Engineering with Computers","","11","4","10.1007/BF01208816","D. MajumderR. M. RanganR. E. Fulton","1995","http://link.springer.com/article/10.1007/BF01208816","Article"
"Agile Automation Systems Based on Cyber-Physical Systems and Service-Oriented Architectures","Advances in Automation and Robotics, Vol.1","","","","10.1007/978-3-642-25553-3_70","Detlef ZühlkeLisa Ollinger","2012","http://link.springer.com/chapter/10.1007/978-3-642-25553-3_70","Chapter"
"Theories, tools and research methods in program comprehension: past, present and future","Software Quality Journal","","14","3","10.1007/s11219-006-9216-4","Margaret-Anne Storey","2006","http://link.springer.com/article/10.1007/s11219-006-9216-4","Article"
"Natural interaction in intelligent spaces: Designing for architecture and entertainment","Multimedia Tools and Applications","","38","3","10.1007/s11042-007-0193-9","Flavia Sparacino","2008","http://link.springer.com/article/10.1007/s11042-007-0193-9","Article"
"XSED – XML-Based Description of Status–Event Components and Systems","Engineering Interactive Systems","","","","10.1007/978-3-540-92698-6_13","Alan DixJair LeiteAdrian Friday","2008","http://link.springer.com/chapter/10.1007/978-3-540-92698-6_13","Chapter"
"DCS 3D Operators in Industrial Environments: New HCI Paradigm for the Industry","Virtual, Augmented and Mixed Reality. Systems and Applications","","","","10.1007/978-3-642-39420-1_29","Manuel Pérez CotaMiguel Ramón González Castro","2013","http://link.springer.com/chapter/10.1007/978-3-642-39420-1_29","Chapter"
"A message-array-based mechanism for tracking control effects in supervisory control software","International Journal of Automation and Computing","","8","1","10.1007/s11633-010-0558-9","Qi-Liang YangJian-Chun XingPing Wang","2011","http://link.springer.com/article/10.1007/s11633-010-0558-9","Article"
"Improving Modularity of Interactive Software with the MDPC Architecture","Engineering Interactive Systems","","","","10.1007/978-3-540-92698-6_20","Stéphane ConversyEric BarboniDavid NavarrePhilippe Palanque","2008","http://link.springer.com/chapter/10.1007/978-3-540-92698-6_20","Chapter"
"Supporting multiple viewpoints in collaborative graphical editing","Multimedia Tools and Applications","","32","2","10.1007/s11042-006-0064-9","Alexandre Pereira MeireMarcos R. S. BorgesRenata Mendes de Araújo","2007","http://link.springer.com/article/10.1007/s11042-006-0064-9","Article"
"From the social to the systematic","Computer Supported Cooperative Work (CSCW)","","5","4","10.1007/BF00136712","Peter H. CarstensenCarsten Sørensen","1996","http://link.springer.com/article/10.1007/BF00136712","Article"
"Foundations and Tools for End-User Architecting","Large-Scale Complex IT Systems. Development, Operation and Management","","","","10.1007/978-3-642-34059-8_9","David GarlanVishal DwivediIvan RuchkinBradley Schmerl","2012","http://link.springer.com/chapter/10.1007/978-3-642-34059-8_9","Chapter"
"A Methodological Framework for Socio-Cognitive Analyses of Collaborative Design of Open Source Software","Computer Supported Cooperative Work (CSCW)","","15","2 - 3","10.1007/s10606-006-9020-5","Warren SackFrançoise DétienneNicolas DucheneautJean-Marie BurkhardtDilan MahendranFlore Barcellini","2006","http://link.springer.com/article/10.1007/s10606-006-9020-5","Article"
"Experiences with planning techniques for assisting software design activities","Applied Intelligence","","29","1","10.1007/s10489-007-0081-z","J. Andrés Díaz-PaceMarcelo R. Campo","2008","http://link.springer.com/article/10.1007/s10489-007-0081-z","Article"
"Palpability Support Demonstrated","Embedded and Ubiquitous Computing","","","","10.1007/978-3-540-77092-3_26","Jeppe BrønstedErik GrönvallDavid Fors","2007","http://link.springer.com/chapter/10.1007/978-3-540-77092-3_26","Chapter"
"An AHP-Based Approach in the Early Design Evaluation via Usability Goals","Advances in Visual Informatics","","","","10.1007/978-3-319-02958-0_63","Meei Hao HooAzizah Jaafar","2013","http://link.springer.com/chapter/10.1007/978-3-319-02958-0_63","Chapter"
"Task and Resources Assignment in Special Application Embedded Systems","Computer Aided Systems Theory – EUROCAST 2011","","","","10.1007/978-3-642-27579-1_26","Adam HandzlikAndrzej JablonskiRyszard KlempousAgnieszka Skotarczyk","2012","http://link.springer.com/chapter/10.1007/978-3-642-27579-1_26","Chapter"
"Introduction to Special Issue on Evolving Use of Groupware","Computer Supported Cooperative Work (CSCW)","","12","4","10.1023/A:1026119416700","J.H. Erik AndriessenMarike HettingaVolker Wulf","2003","http://link.springer.com/article/10.1023/A%3A1026119416700","Article"
"Recomposition: Coordinating a Web of Software Dependencies","Computer Supported Cooperative Work (CSCW)","","12","3","10.1023/A:1025012916465","Rebecca E. Grinter","2003","http://link.springer.com/article/10.1023/A%3A1025012916465","Article"
"Low cost design of parallel parking assist system based on an ultrasonic sensor","International Journal of Automotive Technology","","11","3","10.1007/s12239-010-0050-0","S. H. JeongC. G. ChoiJ. N. OhP. J. YoonB. S. KimM. KimK. H. Lee","2010","http://link.springer.com/article/10.1007/s12239-010-0050-0","Article"
"Unfolding – A Library for Interactive Maps","Human Factors in Computing and Informatics","","","","10.1007/978-3-642-39062-3_31","Till NagelJoris KlerkxAndrew Vande MoereErik Duval","2013","http://link.springer.com/chapter/10.1007/978-3-642-39062-3_31","Chapter"
"Konrad and Suse, Two Robots Guiding Visitors in a University Building","Autonomous Mobile Systems 2012","","","","10.1007/978-3-642-32217-4_6","Ronny StrickerSteffen MüllerErik EinhornChristof SchröterMichael VolkhardtKlaus DebesHorst-Michael Gross","2012","http://link.springer.com/chapter/10.1007/978-3-642-32217-4_6","Chapter"
"Contextual Virtual Interaction as Part of Ubiquitous Game Design and Development","Personal and Ubiquitous Computing","","6","5 - 6","10.1007/s007790200044","Tony Manninen","2002","http://link.springer.com/article/10.1007/s007790200044","Article"
"ove Nachrichten","e & i Elektrotechnik und Informationstechnik","","125","5","10.1007/s00502-008-0542-z","","2008","http://link.springer.com/article/10.1007/s00502-008-0542-z","Article"
"e-Automation, an architecture for distributed industrial automation systems","International Journal of Automation and Computing","","1","1","10.1007/s11633-004-0017-6","Q. H. WuD. P. BuseJ. Q. FengP. SunJ. Fitch","2004","http://link.springer.com/article/10.1007/s11633-004-0017-6","Article"
"A Collaboration Pattern Model for Virtual Organisations","Leveraging Knowledge for Innovation in Collaborative Networks","","","","10.1007/978-3-642-04568-4_7","Nikos PapageorgiouYannis VerginadisDimitris ApostolouGregoris Mentzas","2009","http://link.springer.com/chapter/10.1007/978-3-642-04568-4_7","Chapter"
"A model-driven approach to automate the propagation of changes among Architecture Description Languages","Software & Systems Modeling","","11","1","10.1007/s10270-010-0170-z","Romina EramoIvano MalavoltaHenry MucciniPatrizio PelliccioneAlfonso Pierantonio","2012","http://link.springer.com/article/10.1007/s10270-010-0170-z","Article"
"Introducing Usability in a Conceptual Modeling-Based Software Development Process","Conceptual Modeling","","","","10.1007/978-3-642-34002-4_41","Jose Ignacio Panach NavarreteNatalia Juristo JuzgadoÓscar Pastor","2012","http://link.springer.com/chapter/10.1007/978-3-642-34002-4_41","Chapter"
"AAC Services Development: From Usability Requirements to the Reusable Components","Agent and Multi-Agent Systems. Technologies and Applications","","","","10.1007/978-3-642-30947-2_27","Ivan VučakHrvoje BelaniMarin Vuković","2012","http://link.springer.com/chapter/10.1007/978-3-642-30947-2_27","Chapter"
